Year,StatArea,SI
1951,23,3469.611223
1951,24,2366.084712
1951,25,13761.05143
1952,23,8374.130081
1952,24,1972.75096
1952,25,2962.934842
1953,23,10370.96646
1953,24,2430.729958
1953,25,26769.00368
1954,23,6035.67201
1954,24,1840.191108
1954,25,12772.24062
1955,23,4781.374665
1955,24,1436.373451
1955,25,8894.311912
1956,23,11581.36332
1956,24,395.335875
1956,25,15206.2864
1957,23,7670.648658
1957,24,449.4380236
1957,25,35993.94334
1958,23,8199.292791
1958,24,2403.370906
1958,25,8383.303894
1959,23,1696.414548
1959,24,3386.749252
1959,25,7896.290674
1960,23,2923.920174
1960,24,2246.85524
1960,25,843.9219689
1961,23,3482.554315
1961,24,4309.687242
1961,25,2763.264269
1962,23,20990.07433
1962,24,895.7163752
1962,25,12583.78508
1963,23,7187.501553
1963,24,2874.117034
1963,25,1183.012384
1964,23,5118.396301
1964,24,10879.31693
1964,25,6763.758262
1965,23,2837.225723
1965,24,3076.696004
1965,25,5977.103388
1966,23,1119.578052
1966,24,1101.564571
1966,25,1501.3223
1967,23,534.8811088
1967,24,624.4436354
1967,25,3653.788931
1968,23,4178.405539
1968,24,990.0408085
1968,25,5860.212045
1969,23,5840.850121
1969,24,609.1221349
1969,25,4015.396137
1970,23,10248.28364
1970,24,9229.360829
1970,25,7433.943869
1971,23,17719.96448
1971,24,9586.208158
1971,25,8899.495845
1972,23,10543.52771
1972,24,11847.56589
1972,25,19466.1247
1973,23,7362.249166
1973,24,3819.647396
1973,25,8299.528089
1974,23,8734.790098
1974,24,12551.68434
1974,25,4253.963989
1975,23,11713.77584
1975,24,26634.20734
1975,25,10800.54062
1976,23,31952.28969
1976,24,23337.29799
1976,25,8910.392171
1977,23,36292.9629
1977,24,17059.89918
1977,25,5326.085477
1978,23,11465.92856
1978,24,17948.25396
1978,25,16192.68076
1979,23,24271.46476
1979,24,30648.19142
1979,25,11477.41742
1980,23,19123.82597
1980,24,35580.88222
1980,25,7602.903706
1981,23,16359.24566
1981,24,27634.04019
1981,25,7935.333202
1982,23,14739.67555
1982,24,7325.187489
1982,25,11418.43009
1983,23,8188.850001
1983,24,2017.061023
1983,25,6564.799022
1984,23,6858.760299
1984,24,14859.12971
1984,25,2369.574735
1985,23,17140.89876
1985,24,10524.94103
1985,25,1924.08185
1986,23,28832.94202
1986,24,4580.93825
1986,25,6100.377648
1987,23,9.099434401
1987,24,8832.109136
1987,25,8017.035529
1988,23,15572.64895
1988,24,20955.93591
1988,25,9713.644836
1989,23,24365.73867
1989,24,20224.38719
1989,25,3127.752365
1990,23,18706.62494
1990,24,21540.64199
1990,25,6216.284808
1991,23,20397.04158
1991,24,6834.70927
1991,25,2764.311974
1992,23,15909.5847
1992,24,20767.92327
1992,25,5688.859842
1993,23,19790.2021
1993,24,10282.28655
1993,25,4319.849825
1994,23,13211.08371
1994,24,5368.394401
1994,25,6669.617788
1995,23,11779.41378
1995,24,8533.04086
1995,25,6815.666174
1996,23,11499.19001
1996,24,15200.44431
1996,25,6421.321434
1997,23,25479.30207
1997,24,14264.77061
1997,25,5617.768944
1998,23,10556.50286
1998,24,26561.89998
1998,25,3892.907917
1999,23,4452.536582
1999,24,6673.008174
1999,25,8608.221259
2000,23,4813.908458
2000,24,1466.798093
2000,25,6518.14182
2001,23,2133.22513
2001,24,2580.079263
2001,25,8700.524529
2002,23,14982.12303
2002,24,2107.42008
2002,25,4152.017566
2003,23,5796.18657
2003,24,2530.958763
2003,25,23070.30537
2004,23,6233.920205
2004,24,1542.693
2004,25,8655.409292
2005,23,3978.743361
2005,24,866.1585935
2005,25,4818.904132
2006,23,1666.964102
2006,24,713.7094711
2006,25,494.7201745
2007,23,1776.209943
2007,24,469.7455209
2007,25,NA
2008,23,1855.157727
2008,24,549.0703567
2008,25,335.0259357
2009,23,5803.318262
2009,24,1329.557219
2009,25,3474.092345
2010,23,1098.246994
2010,24,194.8290878
2010,25,1170.802302
2011,23,2581.683528
2011,24,2889.601907
2011,25,4192.058004
2012,23,375.3070702
2012,24,1987.482271
2012,25,3044.343843
2013,23,4131.476212
2013,24,752.5417516
2013,25,7458.372883
2014,23,8792.279013
2014,24,1301.183797
2014,25,3843.268046
2015,23,4216.612416
2015,24,2099.128283
2015,25,5007.652155
2016,23,11844.54054
2016,24,5467.150073
2016,25,3215.869856
2017,23,5273.453256
2017,24,1526.967249
2017,25,8933.371622
